線番号,1,電圧(V)/Ch167/Cy000002/C,2,電圧(V)/Ch168/Cy000002/C,3,電圧(V)/Ch169/Cy000002/C,4,電圧(V)/Ch170/Cy000002/C,5,電圧(V)/Ch171/Cy000002/C,6,電圧(V)/Ch172/Cy000002/C,7,電圧(V)/Ch185/Cy000002/C,8,電圧(V)/Ch186/Cy000002/C,9,電圧(V)/Ch187/Cy000002/C,10,電圧(V)/Ch188/Cy000002/C,11,電圧(V)/Ch189/Cy000002/C,12,電圧(V)/Ch190/Cy000002/C,13,電圧(V)/Ch191/Cy000002/C,14,電圧(V)/Ch192/Cy000002/C,15,電圧(V)/Ch193/Cy000002/C,16,電圧(V)/Ch195/Cy000002/C,17,電圧(V)/Ch196/Cy000002/C,,,,,,電圧(V)/Ch167/Cy000002/C,,電圧(V)/Ch168/Cy000002/C,,電圧(V)/Ch169/Cy000002/C,,電圧(V)/Ch170/Cy000002/C,,電圧(V)/Ch171/Cy000002/C,,電圧(V)/Ch172/Cy000002/C,,電圧(V)/Ch185/Cy000002/C,,電圧(V)/Ch186/Cy000002/C,,電圧(V)/Ch187/Cy000002/C,,電圧(V)/Ch188/Cy000002/C,,電圧(V)/Ch189/Cy000002/C,,電圧(V)/Ch190/Cy000002/C,,電圧(V)/Ch191/Cy000002/C,,電圧(V)/Ch192/Cy000002/C,,電圧(V)/Ch193/Cy000002/C,,電圧(V)/Ch195/Cy000002/C,,電圧(V)/Ch196/Cy000002/C,
587,1.26241,0.1226,1.24001,0.1368,1.25205,0.1178,1.23225,0.1358,1.2363,0.1328,1.2396,0.1232,1.24189,0.1134,1.24594,0.1092,1.24814,0.11,1.24616,0.1066,1.25465,0.1106,1.2426,0.111,1.24987,0.1066,1.25887,0.1106,1.2422,0.118,1.25593,0.1114,1.23804,0.1304,,,,,,0.277590017,0.1226,0.297014075,0.1368,0.248683638,0.1178,0.312897549,0.1358,0.289373714,0.1328,0.242414761,0.1232,0.242369183,0.1134,0.21868111,0.1092,0.259606225,0.11,0.21956832,0.1066,0.221780502,0.1106,0.238507457,0.111,0.222901697,0.1066,0.22452878,0.1106,0.264891342,0.118,0.237747557,0.1114,0.275683006,0.1304
588,1.2647,0.1228,1.24209,0.1368,1.25413,0.1178,1.23447,0.1358,1.23845,0.1328,1.24183,0.1232,1.24411,0.1134,1.2483,0.1092,1.25029,0.11,1.24831,0.1066,1.25674,0.1106,1.24469,0.111,1.25196,0.1066,1.26116,0.1106,1.24442,0.1182,1.25801,0.1114,1.24026,0.1304,,,,,,0.278093563,0.1228,0.297512288,0.1368,0.24909677,0.1178,0.31346126,0.1358,0.289876952,0.1328,0.242850857,0.1232,0.242802442,0.1134,0.219095326,0.1092,0.260053413,0.11,0.219947141,0.1066,0.222149944,0.1106,0.238908616,0.111,0.223274428,0.1066,0.224937218,0.1106,0.265364743,0.1182,0.238141301,0.1114,0.276177349,0.1304
589,1.26679,0.1228,1.24425,0.1368,1.25621,0.118,1.2367,0.136,1.24068,0.133,1.24405,0.1234,1.24626,0.1134,1.25039,0.1094,1.25245,0.1102,1.2504,0.1066,1.25882,0.1106,1.24677,0.111,1.25404,0.1066,1.26325,0.1108,1.24664,0.1182,1.2601,0.1114,1.24242,0.1306,,,,,,0.278553131,0.1228,0.298029663,0.1368,0.249509902,0.118,0.31402751,0.136,0.290398916,0.133,0.243284998,0.1234,0.243222039,0.1134,0.219462152,0.1094,0.260502681,0.1102,0.220315391,0.1066,0.222517619,0.1106,0.239307856,0.111,0.223645375,0.1066,0.225309985,0.1108,0.265838144,0.1182,0.238536938,0.1114,0.276658331,0.1306
590,1.26887,0.123,1.24647,0.137,1.2583,0.118,1.23885,0.136,1.24283,0.133,1.2462,0.1234,1.24849,0.1134,1.25247,0.1094,1.25453,0.1102,1.25248,0.1066,1.26097,0.1106,1.24892,0.111,1.25612,0.1066,1.26554,0.1108,1.24893,0.1184,1.26239,0.1114,1.24457,0.1306,,,,,,0.2790105,0.123,0.29856141,0.137,0.249925021,0.118,0.314573446,0.136,0.290902154,0.133,0.243705449,0.1234,0.243657249,0.1134,0.219827223,0.1094,0.26093531,0.1102,0.220681878,0.1066,0.222897668,0.1106,0.239720532,0.111,0.224016322,0.1066,0.225718424,0.1108,0.266326472,0.1184,0.238970435,0.1114,0.277137087,0.1306
591,1.27116,0.1232,1.24855,0.137,1.26038,0.118,1.241,0.136,1.24492,0.1332,1.24835,0.1236,1.25064,0.1134,1.25455,0.1094,1.25668,0.1102,1.25464,0.1066,1.26306,0.1106,1.25108,0.111,1.25842,0.1066,1.26783,0.1108,1.25108,0.1184,1.26447,0.1114,1.24672,0.1308,,,,,,0.279514045,0.1232,0.299059623,0.137,0.250338153,0.118,0.315119382,0.136,0.291391349,0.1332,0.244125901,0.1236,0.244076847,0.1134,0.220192294,0.1094,0.261382498,0.1102,0.221062461,0.1066,0.223267111,0.1106,0.240135127,0.111,0.224426503,0.1066,0.226126862,0.1108,0.266784946,0.1184,0.239364179,0.1114,0.277615842,0.1308
592,1.27325,0.1232,1.25078,0.137,1.26274,0.1182,1.24322,0.1362,1.24714,0.1332,1.25051,0.1236,1.25286,0.1136,1.25664,0.1094,1.25883,0.1102,1.25672,0.1066,1.26514,0.1108,1.2533,0.111,1.2605,0.1066,1.26992,0.1108,1.25324,0.1186,1.26683,0.1116,1.24887,0.1308,,,,,,0.279973613,0.1232,0.299593765,0.137,0.250806899,0.1182,0.315683093,0.1362,0.291910971,0.1332,0.244548308,0.1236,0.244510105,0.1136,0.22055912,0.1094,0.261829686,0.1102,0.221428949,0.1066,0.223634786,0.1108,0.240561239,0.111,0.22479745,0.1066,0.226499629,0.1108,0.267245552,0.1186,0.239810927,0.1116,0.278094598,0.1308
593,1.27561,0.1234,1.25293,0.137,1.26503,0.1182,1.24545,0.1362,1.24895,0.1334,1.25273,0.1238,1.25495,0.1136,1.25879,0.1094,1.26099,0.1102,1.2588,0.1066,1.26729,0.1108,1.25538,0.1112,1.26286,0.1066,1.27228,0.111,1.25546,0.1188,1.26919,0.1114,1.2511,0.131,,,,,,0.280492551,0.1234,0.300108745,0.137,0.251261741,0.1182,0.316249343,0.1362,0.292334628,0.1334,0.244982449,0.1238,0.244917993,0.1136,0.220936478,0.1094,0.262278954,0.1102,0.221795437,0.1066,0.224014834,0.1108,0.240960479,0.1112,0.225218333,0.1066,0.226920552,0.111,0.267718953,0.1188,0.240257675,0.1114,0.278591167,0.131
594,1.27797,0.1234,1.25515,0.1372,1.26711,0.1184,1.2476,0.1364,1.24923,0.1334,1.25488,0.1238,1.2571,0.1136,1.26094,0.1094,1.26307,0.1102,1.26103,0.1066,1.26938,0.1108,1.25753,0.111,1.26515,0.1066,1.27457,0.111,1.25768,0.1188,1.27148,0.1116,1.25325,0.131,,,,,,0.281011489,0.1234,0.300640491,0.1372,0.251674873,0.1184,0.316795279,0.1364,0.292400166,0.1334,0.2454029,0.1238,0.24533759,0.1136,0.221313835,0.1094,0.262711582,0.1102,0.222188353,0.1066,0.224384277,0.1108,0.241373155,0.111,0.225626731,0.1066,0.227328991,0.111,0.268192354,0.1188,0.240691172,0.1116,0.279069923,0.131
595,1.28026,0.1236,1.25724,0.1372,1.26947,0.1184,1.24975,0.1364,1.25131,0.1334,1.2571,0.124,1.25925,0.1136,1.26331,0.1094,1.26522,0.1104,1.26339,0.1066,1.27153,0.1108,1.25969,0.1112,1.26724,0.1066,1.27666,0.111,1.25983,0.119,1.27357,0.1116,1.25547,0.1312,,,,,,0.281515035,0.1236,0.3011411,0.1372,0.252143619,0.1184,0.317341215,0.1364,0.292887019,0.1334,0.245837041,0.124,0.245757188,0.1136,0.221729805,0.1094,0.263158771,0.1104,0.222604176,0.1066,0.224764326,0.1108,0.24178775,0.1112,0.225999461,0.1066,0.227701758,0.111,0.268650828,0.119,0.241086809,0.1116,0.279564266,0.1312
596,1.28234,0.1238,1.25939,0.1372,1.27156,0.1186,1.25197,0.1366,1.2534,0.1336,1.25933,0.124,1.26141,0.1138,1.26539,0.1094,1.26738,0.1104,1.26547,0.1066,1.27361,0.1108,1.26177,0.1112,1.2696,0.1066,1.27874,0.111,1.26198,0.119,1.27586,0.1116,1.25755,0.1312,,,,,,0.281972404,0.1238,0.30165608,0.1372,0.252558737,0.1186,0.317904926,0.1366,0.293376214,0.1336,0.246273137,0.124,0.246178737,0.1138,0.222094876,0.1094,0.263608039,0.1104,0.222970663,0.1066,0.225132001,0.1108,0.24218699,0.1112,0.226420344,0.1066,0.228072741,0.111,0.269109302,0.119,0.241520306,0.1116,0.280027434,0.1312
597,1.28464,0.1238,1.26155,0.1372,1.27364,0.1186,1.25413,0.1366,1.25548,0.1336,1.26148,0.1242,1.26356,0.1136,1.26747,0.1096,1.26953,0.1104,1.26756,0.1066,1.2757,0.1108,1.26392,0.1112,1.27196,0.1066,1.28103,0.1112,1.26421,0.1192,1.27801,0.1116,1.25971,0.1314,,,,,,0.282478149,0.1238,0.302173455,0.1372,0.252971869,0.1186,0.318453401,0.1366,0.293863068,0.1336,0.246693589,0.1242,0.246598334,0.1136,0.222459947,0.1096,0.264055227,0.1104,0.223338913,0.1066,0.225501443,0.1108,0.242599666,0.1112,0.226841226,0.1066,0.22848118,0.1112,0.269584836,0.1192,0.241927301,0.1116,0.280508416,0.1314
598,1.28679,0.124,1.26363,0.1374,1.27572,0.1188,1.25628,0.1366,1.25771,0.1338,1.2637,0.1242,1.26571,0.1138,1.26963,0.1096,1.27168,0.1104,1.26971,0.1068,1.27778,0.1108,1.26601,0.1112,1.27425,0.1068,1.28312,0.1112,1.26643,0.1192,1.28037,0.1116,1.26193,0.1314,,,,,,0.28295091,0.124,0.302671668,0.1374,0.253385001,0.1188,0.318999337,0.1366,0.294385031,0.1338,0.247127729,0.1242,0.247017931,0.1138,0.22283906,0.1096,0.264502415,0.1104,0.223717734,0.1068,0.225869118,0.1108,0.243000825,0.1112,0.227249624,0.1068,0.228853947,0.1112,0.270058237,0.1192,0.242374049,0.1116,0.281002759,0.1314
599,1.28915,0.1242,1.26578,0.1374,1.27781,0.1188,1.25843,0.1368,1.25986,0.1338,1.26592,0.1244,1.2678,0.1138,1.27171,0.1096,1.27376,0.1104,1.27179,0.1066,1.27986,0.111,1.26816,0.1112,1.27633,0.1068,1.2852,0.1112,1.26858,0.1194,1.28245,0.1118,1.26401,0.1316,,,,,,0.283469848,0.1242,0.303186648,0.1374,0.25380012,0.1188,0.319545273,0.1368,0.294888269,0.1338,0.24756187,0.1244,0.247425819,0.1138,0.223204131,0.1096,0.264935043,0.1104,0.224084222,0.1066,0.226236793,0.111,0.243413501,0.1112,0.227620571,0.1068,0.22922493,0.1112,0.270516711,0.1194,0.242767793,0.1118,0.281465927,0.1316
600,1.29124,0.1242,1.26794,0.1374,1.27989,0.119,1.26058,0.1368,1.26201,0.134,1.26815,0.1244,1.26995,0.114,1.27379,0.1096,1.27592,0.1104,1.27388,0.1068,1.28195,0.111,1.27024,0.1112,1.27862,0.1066,1.28749,0.1114,1.27066,0.1196,1.28453,0.1118,1.26616,0.1316,,,,,,0.283929416,0.1242,0.303704023,0.1374,0.254213252,0.119,0.320091209,0.1368,0.295391508,0.134,0.247997966,0.1244,0.247845416,0.114,0.223569202,0.1096,0.265384311,0.1104,0.224452471,0.1068,0.226606236,0.111,0.243812741,0.1112,0.22802897,0.1066,0.229633369,0.1114,0.270960258,0.1196,0.243161537,0.1118,0.281944683,0.1316
601,1.29332,0.1244,1.27002,0.1376,1.28204,0.119,1.26274,0.1368,1.2641,0.134,1.27044,0.1246,1.2721,0.114,1.27595,0.1096,1.278,0.1104,1.27624,0.1068,1.28403,0.111,1.27233,0.1112,1.28071,0.1068,1.28958,0.1114,1.27281,0.1196,1.28662,0.1118,1.26831,0.1318,,,,,,0.284386785,0.1244,0.304202236,0.1376,0.254640287,0.119,0.320639685,0.1368,0.295880702,0.134,0.248445796,0.1246,0.248265014,0.114,0.223948314,0.1096,0.26581694,0.1104,0.224868294,0.1068,0.226973911,0.111,0.2442139,0.1112,0.2284017,0.1068,0.230006135,0.1114,0.271418732,0.1196,0.243557174,0.1118,0.282423438,0.1318
602,1.2954,0.1244,1.27218,0.1376,1.28412,0.119,1.26489,0.137,1.26625,0.1342,1.27266,0.1246,1.27426,0.114,1.27803,0.1096,1.28015,0.1104,1.27833,0.1068,1.28625,0.111,1.27448,0.1112,1.28307,0.1068,1.29166,0.1114,1.2749,0.1198,1.2887,0.1118,1.27047,0.1318,,,,,,0.284844154,0.1244,0.304719611,0.1376,0.255053419,0.119,0.321185621,0.137,0.29638394,0.1342,0.248879937,0.1246,0.248686563,0.114,0.224313385,0.1096,0.266264128,0.1104,0.225236543,0.1068,0.227366333,0.111,0.244626576,0.1112,0.228822582,0.1068,0.230377119,0.1114,0.271864411,0.1198,0.243950918,0.1118,0.28290442,0.1318
603,1.29749,0.1246,1.27426,0.1376,1.28628,0.1192,1.26697,0.137,1.26841,0.1342,1.27488,0.1248,1.27634,0.114,1.28018,0.1096,1.28231,0.1106,1.28048,0.1068,1.28861,0.111,1.27663,0.1112,1.28515,0.1068,1.29375,0.1114,1.27705,0.12,1.29078,0.112,1.27262,0.132,,,,,,0.285303722,0.1246,0.305217825,0.1376,0.255482441,0.1192,0.321713782,0.137,0.296889519,0.1342,0.249314077,0.1248,0.249092499,0.114,0.224690743,0.1096,0.266713396,0.1106,0.225615364,0.1068,0.227783503,0.111,0.245039252,0.1112,0.229193529,0.1068,0.230749886,0.1114,0.272322885,0.12,0.244344662,0.112,0.283383176,0.132
604,1.29957,0.1248,1.27641,0.1376,1.28857,0.1192,1.26913,0.137,1.27056,0.1344,1.2771,0.1248,1.27843,0.1142,1.28227,0.1096,1.28439,0.1106,1.28263,0.1068,1.2907,0.111,1.27872,0.1112,1.28744,0.1068,1.29604,0.1116,1.27913,0.12,1.293,0.112,1.2747,0.132,,,,,,0.285761091,0.1248,0.305732804,0.1376,0.255937283,0.1192,0.322262258,0.137,0.297392758,0.1344,0.249748218,0.1248,0.249500386,0.1142,0.225057569,0.1096,0.267146025,0.1106,0.225994186,0.1068,0.228152946,0.111,0.245440412,0.1112,0.229601927,0.1068,0.231158324,0.1116,0.272766432,0.12,0.244764908,0.112,0.283846344,0.132
605,1.30179,0.1248,1.27864,0.1378,1.29065,0.1194,1.27121,0.137,1.27279,0.1344,1.27933,0.1248,1.28051,0.1142,1.28435,0.1096,1.28654,0.1106,1.28472,0.1068,1.29299,0.111,1.28087,0.1112,1.28981,0.1068,1.29812,0.1116,1.28129,0.1202,1.29509,0.112,1.27685,0.132,,,,,,0.286249244,0.1248,0.306266946,0.1378,0.256350415,0.1194,0.322790419,0.137,0.297914721,0.1344,0.250184314,0.1248,0.249906322,0.1142,0.22542264,0.1096,0.267593213,0.1106,0.226362435,0.1068,0.228557742,0.111,0.245853087,0.1112,0.230024593,0.1068,0.231529308,0.1116,0.273227038,0.1202,0.245160545,0.112,0.284325099,0.132
606,1.30388,0.125,1.28072,0.1378,1.29273,0.1194,1.27336,0.1372,1.27501,0.1346,1.28162,0.125,1.28266,0.1142,1.28644,0.1096,1.28863,0.1108,1.28687,0.1068,1.29507,0.1112,1.28295,0.1114,1.2921,0.1068,1.30021,0.1116,1.28344,0.1204,1.29724,0.112,1.27901,0.1322,,,,,,0.286708812,0.125,0.30676516,0.1378,0.256763547,0.1194,0.323336355,0.1372,0.298434344,0.1346,0.250632144,0.125,0.25032592,0.1142,0.225789466,0.1096,0.268027921,0.1108,0.226741256,0.1068,0.228925417,0.1112,0.246252327,0.1114,0.230432991,0.1068,0.231902075,0.1116,0.273685512,0.1204,0.24556754,0.112,0.284806082,0.1322
607,1.30603,0.1252,1.28287,0.1378,1.29482,0.1196,1.27551,0.1372,1.27723,0.1346,1.28384,0.125,1.28482,0.1142,1.28852,0.1098,1.29099,0.1108,1.28902,0.1068,1.29715,0.1112,1.2851,0.1114,1.29418,0.1068,1.3025,0.1118,1.28552,0.1204,1.29932,0.1122,1.28116,0.1324,,,,,,0.287181573,0.1252,0.307280139,0.1378,0.257178666,0.1196,0.323882291,0.1372,0.298953967,0.1346,0.251066285,0.125,0.250747469,0.1142,0.226154537,0.1098,0.268518788,0.1108,0.227120078,0.1068,0.229293092,0.1112,0.246665003,0.1114,0.230803938,0.1068,0.232310513,0.1118,0.274129059,0.1204,0.245961284,0.1122,0.285284837,0.1324
608,1.30812,0.1252,1.2835,0.138,1.2969,0.1196,1.2776,0.1374,1.27939,0.1346,1.28613,0.1252,1.2869,0.1142,1.2906,0.1098,1.29335,0.1108,1.29118,0.1068,1.29952,0.1112,1.28726,0.1114,1.29626,0.1068,1.30458,0.1118,1.2876,0.1206,1.3014,0.1122,1.28331,0.1324,,,,,,0.287641141,0.1252,0.307431041,0.138,0.257591798,0.1196,0.324412992,0.1374,0.299459545,0.1346,0.251514114,0.1252,0.251153405,0.1142,0.226519609,0.1098,0.269009655,0.1108,0.227500661,0.1068,0.229712029,0.1112,0.247079598,0.1114,0.231174885,0.1068,0.232681496,0.1118,0.274572606,0.1206,0.246355028,0.1122,0.285763593,0.1324
609,1.30957,0.1254,1.28503,0.138,1.29898,0.1198,1.27982,0.1374,1.28161,0.1348,1.28842,0.1252,1.28905,0.1144,1.29269,0.1098,1.29543,0.1108,1.29333,0.1068,1.30181,0.1112,1.28941,0.1114,1.29835,0.1068,1.30688,0.112,1.28976,0.1206,1.30369,0.1122,1.28547,0.1326,,,,,,0.28795998,0.1254,0.307797515,0.138,0.25800493,0.1198,0.324976702,0.1374,0.299979168,0.1348,0.251961944,0.1252,0.251573002,0.1144,0.226886435,0.1098,0.269442284,0.1108,0.227879482,0.1068,0.230116825,0.1112,0.247492274,0.1114,0.231547616,0.1068,0.233091719,0.112,0.275033213,0.1206,0.246788525,0.1122,0.286244575,0.1326
610,1.3102,0.1254,1.28711,0.138,1.30134,0.1198,1.2819,0.1374,1.28384,0.1348,1.29065,0.1254,1.29121,0.1144,1.29491,0.1098,1.29751,0.1108,1.29542,0.1068,1.30389,0.1112,1.29156,0.1114,1.30043,0.1068,1.30896,0.112,1.29184,0.1208,1.30578,0.1122,1.28762,0.1326,,,,,,0.28809851,0.1254,0.308295728,0.138,0.258473676,0.1198,0.325504864,0.1374,0.300501132,0.1348,0.252398041,0.1254,0.251994551,0.1144,0.227276078,0.1098,0.269874912,0.1108,0.228247731,0.1068,0.2304845,0.1112,0.24790495,0.1114,0.231918563,0.1068,0.233462702,0.112,0.27547676,0.1208,0.247184162,0.1122,0.286723331,0.1326
611,1.31249,0.1254,1.28926,0.138,1.30363,0.1198,1.28406,0.1376,1.28599,0.135,1.29287,0.1254,1.29343,0.1144,1.29727,0.1098,1.2996,0.1108,1.2975,0.1068,1.30625,0.1112,1.29372,0.1114,1.30251,0.107,1.31104,0.112,1.29392,0.1208,1.30786,0.1122,1.2897,0.1326,,,,,,0.288602056,0.1254,0.308810708,0.138,0.258928518,0.1198,0.326053339,0.1376,0.30100437,0.135,0.252832181,0.1254,0.25242781,0.1144,0.227690293,0.1098,0.270309621,0.1108,0.228614219,0.1068,0.23090167,0.1112,0.248319545,0.1114,0.23228951,0.107,0.233833685,0.112,0.275920307,0.1208,0.247577906,0.1122,0.287186499,0.1326
612,1.31458,0.1254,1.29142,0.1382,1.30572,0.12,1.28614,0.1376,1.28808,0.135,1.29516,0.1256,1.29558,0.1144,1.29935,0.1098,1.30175,0.1108,1.29965,0.1068,1.30833,0.1114,1.29587,0.1114,1.30488,0.107,1.31334,0.1122,1.29601,0.121,1.31001,0.1124,1.29178,0.1328,,,,,,0.289061624,0.1254,0.309328083,0.1382,0.259343636,0.12,0.326581501,0.1376,0.301493564,0.135,0.253280011,0.1256,0.252847407,0.1144,0.228055364,0.1098,0.270756809,0.1108,0.22899304,0.1068,0.231269345,0.1114,0.248732221,0.1114,0.232712175,0.107,0.234243907,0.1122,0.276365986,0.121,0.247984901,0.1124,0.287649667,0.1328
613,1.31666,0.1258,1.29357,0.138,1.30801,0.12,1.28822,0.1378,1.2903,0.135,1.29731,0.1256,1.29774,0.1146,1.30165,0.1098,1.30383,0.111,1.30174,0.1068,1.31069,0.1114,1.29809,0.1114,1.30717,0.107,1.31542,0.1122,1.29809,0.1212,1.31209,0.1124,1.29394,0.1328,,,,,,0.289518993,0.1258,0.309843063,0.138,0.259798479,0.12,0.327109662,0.1378,0.302013187,0.135,0.253700462,0.1256,0.253268956,0.1146,0.228459049,0.1098,0.271189437,0.111,0.22936129,0.1068,0.231686515,0.1114,0.249158333,0.1114,0.233120574,0.107,0.234614891,0.1122,0.276809533,0.1212,0.248378645,0.1124,0.288130649,0.1328
614,1.31881,0.1258,1.29566,0.1382,1.31009,0.1202,1.29031,0.1378,1.29239,0.1352,1.29947,0.1258,1.29989,0.1146,1.30373,0.1098,1.30592,0.111,1.30389,0.1068,1.31306,0.1114,1.30024,0.1114,1.30925,0.107,1.31771,0.1122,1.30017,0.1212,1.31418,0.1124,1.29609,0.133,,,,,,0.289991754,0.1258,0.310343671,0.1382,0.260211611,0.1202,0.327640363,0.1378,0.302502382,0.1352,0.25412287,0.1258,0.253688553,0.1146,0.22882412,0.1098,0.271624146,0.111,0.229740111,0.1068,0.232105452,0.1114,0.249571009,0.1114,0.233491521,0.107,0.235023329,0.1122,0.27725308,0.1212,0.248774282,0.1124,0.288609405,0.133
615,1.3209,0.126,1.29781,0.1382,1.31218,0.1202,1.29246,0.1378,1.29454,0.1352,1.30169,0.126,1.30204,0.1146,1.30581,0.1098,1.308,0.111,1.30598,0.1068,1.31542,0.1114,1.3024,0.1114,1.31161,0.107,1.32001,0.1124,1.30226,0.1214,1.31654,0.1124,1.29831,0.133,,,,,,0.290451322,0.126,0.310858651,0.1382,0.260626729,0.1202,0.328186299,0.1378,0.30300562,0.1352,0.25455701,0.126,0.254108151,0.1146,0.229189191,0.1098,0.272056774,0.111,0.23010836,0.1068,0.232522622,0.1114,0.249985604,0.1114,0.233912403,0.107,0.235433551,0.1124,0.277698759,0.1214,0.24922103,0.1124,0.289103747,0.133
616,1.32298,0.126,1.29989,0.1382,1.31454,0.1204,1.29461,0.138,1.29669,0.1352,1.30391,0.126,1.30427,0.1148,1.30818,0.1098,1.31015,0.111,1.30827,0.1068,1.31771,0.1114,1.30455,0.1114,1.31369,0.107,1.32209,0.1124,1.30434,0.1216,1.31862,0.1126,1.30039,0.133,,,,,,0.290908691,0.126,0.311356864,0.1382,0.261095475,0.1204,0.328732235,0.138,0.303508858,0.1352,0.254991151,0.126,0.254543361,0.1148,0.229605162,0.1098,0.272503962,0.111,0.230511849,0.1068,0.232927418,0.1114,0.25039828,0.1114,0.23428335,0.107,0.235804535,0.1124,0.278142306,0.1216,0.249614774,0.1126,0.289566916,0.133
617,1.32534,0.1262,1.30205,0.1384,1.31662,0.1204,1.2967,0.138,1.29878,0.1354,1.30606,0.126,1.30642,0.1148,1.31047,0.1098,1.31231,0.1112,1.31042,0.1068,1.31979,0.1114,1.30677,0.1116,1.31578,0.107,1.32417,0.1124,1.3067,0.1216,1.3207,0.1126,1.30255,0.1332,,,,,,0.291427629,0.1262,0.31187424,0.1384,0.261508607,0.1204,0.329262936,0.138,0.303998053,0.1354,0.255411603,0.126,0.254962958,0.1148,0.230007091,0.1098,0.27295323,0.1112,0.23089067,0.1068,0.233295093,0.1114,0.250824392,0.1116,0.23465608,0.107,0.236175518,0.1124,0.278645561,0.1216,0.250008519,0.1126,0.290047898,0.1332
618,1.32743,0.1264,1.30413,0.1384,1.3187,0.1206,1.29878,0.138,1.301,0.1356,1.30822,0.1262,1.30864,0.1148,1.31255,0.11,1.31446,0.1112,1.31278,0.1068,1.32215,0.1114,1.30899,0.1116,1.31807,0.107,1.32647,0.1126,1.30878,0.1218,1.32306,0.1126,1.3047,0.1332,,,,,,0.291887197,0.1264,0.312372453,0.1384,0.261921739,0.1206,0.329791097,0.138,0.304517675,0.1356,0.25583401,0.1262,0.255396217,0.1148,0.230372162,0.11,0.273400418,0.1112,0.231306493,0.1068,0.233712262,0.1114,0.251250504,0.1116,0.235064479,0.107,0.23658574,0.1126,0.279089108,0.1218,0.250455267,0.1126,0.290526653,0.1332
619,1.32951,0.1264,1.30622,0.1384,1.32099,0.1206,1.30093,0.138,1.30309,0.1356,1.31044,0.1262,1.31073,0.1148,1.31491,0.11,1.31661,0.1112,1.31508,0.1068,1.32424,0.1116,1.31122,0.1116,1.32015,0.107,1.32855,0.1126,1.31093,0.122,1.32514,0.1126,1.30678,0.1334,,,,,,0.292344566,0.1264,0.312873061,0.1384,0.262376582,0.1206,0.330337033,0.138,0.30500687,0.1356,0.25626815,0.1262,0.255804105,0.1148,0.230786377,0.11,0.273847607,0.1112,0.231711743,0.1068,0.234081705,0.1116,0.251678535,0.1116,0.235435426,0.107,0.236956723,0.1126,0.279547582,0.122,0.250849011,0.1126,0.290989821,0.1334
620,1.33187,0.1266,1.30837,0.1384,1.32314,0.1208,1.30301,0.1382,1.30524,0.1358,1.31266,0.1262,1.31288,0.115,1.317,0.11,1.3187,0.1112,1.31716,0.107,1.32632,0.1116,1.31344,0.1116,1.32224,0.107,1.33091,0.1128,1.31302,0.1222,1.32723,0.1126,1.30893,0.1334,,,,,,0.292863504,0.1266,0.313388041,0.1384,0.262803617,0.1208,0.330865194,0.1382,0.305510108,0.1358,0.256702291,0.1262,0.256223702,0.115,0.231153203,0.11,0.274282315,0.1112,0.232078231,0.107,0.23444938,0.1116,0.252104647,0.1116,0.235808156,0.107,0.237377647,0.1128,0.279993261,0.1222,0.251244648,0.1126,0.291468577,0.1334
621,1.33395,0.1268,1.31045,0.1386,1.32523,0.121,1.30517,0.1382,1.30733,0.1358,1.31481,0.1264,1.3151,0.115,1.31936,0.11,1.32085,0.1112,1.31952,0.107,1.32847,0.1116,1.31566,0.1116,1.32453,0.1072,1.33328,0.1126,1.3151,0.1222,1.32931,0.1126,1.31102,0.1336,,,,,,0.293320873,0.1268,0.313886254,0.1386,0.263218736,0.121,0.33141367,0.1382,0.305999302,0.1358,0.257122743,0.1264,0.256656961,0.115,0.231567419,0.11,0.274729503,0.1112,0.232494053,0.107,0.234829429,0.1116,0.252530759,0.1116,0.236216555,0.1072,0.237800354,0.1126,0.280436808,0.1222,0.251638392,0.1126,0.291933972,0.1336
622,1.33604,0.1268,1.31254,0.1386,1.32731,0.121,1.30732,0.1382,1.30941,0.1358,1.3169,0.1266,1.31719,0.115,1.32172,0.11,1.32307,0.1112,1.32181,0.107,1.33056,0.1116,1.31788,0.1116,1.32661,0.1072,1.33557,0.1128,1.31718,0.1224,1.33139,0.1128,1.31317,0.1336,,,,,,0.293780441,0.1268,0.314386863,0.1386,0.263631868,0.121,0.331959606,0.1382,0.306486156,0.1358,0.257531461,0.1266,0.257064848,0.115,0.231981634,0.11,0.275191251,0.1112,0.232897542,0.107,0.235198872,0.1116,0.252956871,0.1116,0.236587502,0.1072,0.238208792,0.1128,0.280880355,0.1224,0.252032136,0.1128,0.292412727,0.1336
623,1.33812,0.127,1.31469,0.1386,1.32946,0.121,1.30947,0.1382,1.31157,0.136,1.31905,0.1266,1.31934,0.1152,1.32408,0.11,1.32529,0.1112,1.3239,0.107,1.33271,0.1116,1.3201,0.1116,1.3289,0.1072,1.33765,0.1128,1.31933,0.1224,1.33368,0.1128,1.31525,0.1336,,,,,,0.29423781,0.127,0.314901842,0.1386,0.264058903,0.121,0.332505542,0.1382,0.306991735,0.136,0.257951912,0.1266,0.257484446,0.1152,0.232395849,0.11,0.275652999,0.1112,0.233265792,0.107,0.23557892,0.1116,0.253382982,0.1116,0.2369959,0.1072,0.238579776,0.1128,0.281338829,0.1224,0.252465633,0.1128,0.292875895,0.1336
